architecture	update	activation	dropout	n_filters	                learning_rate	n_hidden	mini_batch_size	                cv0_PCC	cv0_AUC	cv0_epoch	                cv1_PCC	cv1_AUC	cv1_epoch	                cv2_PCC	cv2_AUC	cv2_epoch	                cv3_PCC	cv3_AUC	cv3_epoch	                cv4_PCC	cv4_AUC	cv4_epoch	                PCC	AUC
feature_channel_9_3_aa	sgd	rectify	0.0	13	0.01	501	1	0.65416704087	0.823850897523	52	0.6916567823	0.835069420818	7	0.767656772997	0.857464579046	12	0.695145297388	0.848822563441	6	NA	NA	NA	0.711814408025	0.842727195169
1_9_3_aa	sgd	sigmoid	0.0	3	0.00215443469003	501	74	0.391065704644	0.699088584783	500	0.42867998707	0.701990709281	500	0.279245924853	0.635360416915	495	NA	NA	NA	0.204332016247	0.585496075971	496	0.320383639033	0.654564628933
9aa	adam	sigmoid	0.199526231497	21	2.15443469003e-05	22	74	0.666521293666	0.831168889885	500	0.698130398762	0.838303843939	479	0.762337569629	0.851114517704	499	0.706349954949	0.853508991194	498	0.666617187455	0.82519586978	486	0.708066368595	0.840987909697
9aa	sgd	rectify	0.0	13	1e-06	501	74	0.20271466547	0.595017017409	499	0.205438077277	0.596239070194	500	0.0188302721903	0.511659326689	497	0.116050814564	0.574193210049	498	0.132435073636	0.564315624473	498	0.0970840870696	0.553212464622
9_3_aa	rmsprop	tanh	0.0	21	0.215443469003	1	17	nan	0.5	244	1.25181148592e-16	0.5	184	-1.15077067067e-16	0.5	271	-5.50012070601e-17	0.5	129	-1.57652297304e-16	0.5	436	0.0913658793571	0.533772309209
9aa	adam	sigmoid	0.199526231497	50	0.00215443469003	22	1	8.8178890084e-17	0.5	396	1.25181148592e-16	0.5	9	nan	0.5	190	5.50012070601e-17	0.5	151	-1.57652297304e-16	0.5	144	0.0917962037042	0.533772309209
feature_channel_9_3_aa	sgd	sigmoid	1.25892541179	2	0.000464158883361	501	4	0.211287021068	0.588819356794	1	-0.0473324774948	0.471527011019	336	0.156515520569	0.54979049748	215	-0.0326235241098	0.475740006797	206	0.148577720337	0.570636448988	3	0.0333564477001	0.520992282019
1_9_3_aa	adam	tanh	0.0	3	0.01	1	316	-0.0174266349521	0.5	220	0.525905221231	0.759185527792	225	0.512192363162	0.741326826858	260	-0.0575504805432	0.499922372302	55	NA	NA	NA	0.386363925484	0.667877761845
1_9_3_aa	rmsprop	rectify	0.0	50	0.01	501	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_9_3_aa	sgd	rectify	0.0	13	0.01	1	74	0.501361126373	0.752995359021	129	0.417295859683	0.704492219612	189	0.436665122419	0.707452916441	496	0.449805547698	0.720524739096	424	0.110650026109	0.507148417745	500	0.415454774933	0.697039462266
1_9_3_aa	sgd	sigmoid	0.0	13	0.01	22	316	0.240409369434	0.59773845454	475	0.411853447334	0.692363095107	499	0.329115658795	0.662449676666	498	0.399930247608	0.695538235936	499	0.209923124123	0.578807939526	495	0.323721655017	0.649218397363
9_3_aa	sgd	rectify	1.25892541179	13	0.0001	1	74	0.0797961696226	0.576269166711	498	0.125799718501	0.536856476009	474	-0.12445504136	0.46625693903	20	0.0439250156751	0.521486859878	24	-1.57652297304e-16	0.5	487	-0.037155622422	0.491861679801
9_3_aa	sgd	tanh	0.0	5	1e-06	4	1	0.477791046839	0.736849478655	499	0.304786240739	0.64363450046	500	0.586254077684	0.752523658844	500	0.448891647249	0.722521313822	500	0.346737516625	0.667096667072	500	0.457545953304	0.709505137461
9aa	rmsprop	tanh	0.0	3	0.00215443469003	105	316	0.615857103616	0.809234228516	372	0.640188196427	0.808549933483	241	0.717171131587	0.829643560369	310	0.658554098579	0.830453625366	392	0.600749913288	0.799472484188	362	0.656277304996	0.817026425182
9aa	adam	rectify	0.501187233627	13	0.215443469003	501	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	adam	tanh	0.199526231497	21	4.64158883361e-06	4	17	0.589670929118	0.804002272998	496	0.602731381926	0.803359362549	494	0.674127634971	0.821616381379	475	0.619833354955	0.819408002609	500	0.565897050243	0.779191016252	487	0.616956999954	0.804901370101
feature_channel_9_3_aa	rmsprop	rectify	1.25892541179	50	0.0464158883361	22	316	0.121852703207	0.55678473528	480	-0.0526883741018	0.485321885358	354	-0.0387519223811	0.474255290754	413	-0.0220800018769	0.468054482534	237	0.0371448341372	0.516437238164	28	0.0134207436667	0.506974874516
1_9_3_aa	sgd	tanh	0.0	3	1.0	105	17	0.504053579638	0.747246622303	5	0.5345441448	0.748388231984	7	0.620106000454	0.773456629159	7	0.539048792868	0.769175539941	8	NA	NA	NA	0.562860952992	0.761670086829
feature_channel_9_3_aa	sgd	sigmoid	0.0	50	1.0	1	17	nan	0.5	184	1.25181148592e-16	0.5	275	nan	0.5	494	-0.0406885427405	0.5	230	0.0136466084049	0.5	333	0.0916796917295	0.533772309209
1_9_3_aa	rmsprop	rectify	1.25892541179	1	0.00215443469003	1	1	0.150878230466	0.5837255581	466	NA	NA	NA	0.0898142829785	0.517412795326	165	-0.0277353633546	0.482463281536	343	0.00925962709924	0.502055393745	465	0.0752149186163	0.527045155665
9_3_aa	adam	sigmoid	0.0	32	2.15443469003e-05	22	17	0.689028958075	0.842496578777	173	0.711649887867	0.849033523867	176	0.773559938916	0.859988896381	164	0.717303311045	0.860240674427	134	0.698577823845	0.846965042737	223	0.725561715703	0.85273647292
9aa	rmsprop	tanh	0.501187233627	21	2.15443469003e-05	105	17	0.631316698403	0.816707331935	495	0.649667535254	0.816692165641	497	0.70392031085	0.823849704294	495	0.662040432246	0.833555132502	491	0.607153303943	0.797558876048	494	0.658516578696	0.818302023618
feature_channel_9_3_aa	rmsprop	rectify	0.0	21	0.215443469003	22	316	nan	0.5	436	nan	0.5	54	nan	0.5	498	nan	0.5	393	nan	0.5	282	0.0212221081609	0.505770314021
9_3_aa	adam	rectify	1.25892541179	2	0.215443469003	22	17	0.140563051822	0.583728565458	45	-0.126959459972	0.416912180606	193	0.0754115292556	0.534304197601	20	0.0784164658242	0.543244481302	163	0.189180190284	0.564199554215	156	0.0662386772152	0.528928323031
9_3_aa	adam	tanh	0.501187233627	8	0.00215443469003	4	17	0.45350407306	0.706972687092	389	0.44868140571	0.698663015056	365	0.52693685794	0.738696346166	212	-5.50012070601e-17	0.5	338	0.449908882456	0.713461867145	441	0.428399880496	0.709550144017
feature_channel_9_3_aa	sgd	tanh	0.501187233627	50	2.15443469003e-05	501	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	rmsprop	tanh	0.0	3	0.00215443469003	105	74	0.596597044626	0.800307945404	430	0.618410311809	0.799508760427	325	0.701929250583	0.817395308736	447	0.626447967001	0.816144662141	396	0.607942147056	0.80038557412	490	0.640172901026	0.806889869755
feature_channel_9_3_aa	adam	tanh	0.0	1	0.215443469003	1	74	8.8178890084e-17	0.5	91	nan	0.5	21	8.63078003002e-17	0.5	192	5.50012070601e-17	0.5	134	nan	0.5	381	0.0915930907522	0.534295894151
9aa	adam	rectify	0.501187233627	5	4.64158883361e-06	105	1	0.593663854751	0.799380488252	494	0.60325862806	0.79176499069	491	0.667135281617	0.811550851297	476	NA	NA	NA	0.558486541282	0.772869079617	492	0.613256997915	0.795733179441
9_3_aa	adam	sigmoid	0.0	21	0.0001	4	4	0.628606407452	0.814635161233	19	0.662065775664	0.823602695038	27	0.735411526532	0.834643934977	26	0.653708071915	0.831391997182	31	0.61076893811	0.799402537664	83	0.666802616934	0.821530839083
1_9_3_aa	rmsprop	tanh	0.0	5	1.0	22	4	nan	0.5	400	0.000737423441689	0.5	488	nan	0.5	276	-0.0230837608667	0.5	96	-0.0779262219731	0.5	202	0.040666020102	0.513202598278
feature_channel_9_3_aa	rmsprop	sigmoid	0.0	2	1.0	22	17	-8.8178890084e-17	0.5	103	nan	0.5	398	0.0795413852539	0.5	272	-5.50012070601e-17	0.5	357	nan	0.5	34	-0.0246487619922	0.5
9_3_aa	rmsprop	rectify	0.501187233627	21	0.000464158883361	22	74	0.618980501598	0.81149539856	417	0.615027131591	0.79993522182	229	0.58961138767	0.793306894194	295	0.647903470255	0.826288121908	364	0.598796196227	0.796041182797	484	0.613756128856	0.80739788849
feature_channel_9_3_aa	sgd	rectify	0.0	1	0.215443469003	1	1	8.8178890084e-17	0.5	341	-1.25181148592e-16	0.5	386	-8.63078003002e-17	0.5	10	5.50012070601e-17	0.5	442	1.57652297304e-16	0.5	339	0.0917991707011	0.533772309209
feature_channel_9_3_aa	rmsprop	sigmoid	0.0	1	1.0	105	316	0.191888029805	0.5	149	nan	0.5	105	0.0248193211498	0.5	423	nan	0.5	331	0.0215199243658	0.5	159	-0.0389208694509	0.487261055022
9aa	adam	rectify	0.199526231497	13	0.01	1	17	-8.8178890084e-17	0.5	118	-1.25181148592e-16	0.5	102	-8.63078003002e-17	0.5	391	-5.50012070601e-17	0.5	459	1.57652297304e-16	0.5	267	0.0885060832482	0.534295894151
9_3_aa	sgd	tanh	0.501187233627	13	0.0001	105	4	0.544874108279	0.776666699095	498	0.547817207679	0.769479673754	482	0.544291761941	0.754714633481	500	0.54743046325	0.776945652042	485	0.485011712751	0.735690970206	481	0.537322201922	0.76451249709
feature_channel_9_3_aa	rmsprop	sigmoid	0.0	8	0.000464158883361	105	74	0.684593308686	0.841508913911	124	0.704530421031	0.842146759574	128	0.780521023315	0.866769376605	114	0.715278466887	0.858503153728	83	NA	NA	NA	0.731210775819	0.853935314872
9aa	rmsprop	rectify	0.0	32	0.000464158883361	105	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	adam	tanh	0.199526231497	32	0.0001	105	316	0.696831345352	0.846753807124	323	0.732236727703	0.858430997075	484	0.789509497549	0.873056544755	473	0.729376035931	0.867333963125	474	0.715158610937	0.854594833049	472	0.739960379738	0.86115285346
feature_channel_9_3_aa	sgd	sigmoid	0.501187233627	13	0.0464158883361	1	316	0.0636598265676	0.501869648341	424	0.420074809496	0.72455588993	497	-0.124564283634	0.447818054004	1	0.496078223486	0.745412030076	462	0.422723105481	0.716762679734	428	0.32394661586	0.635751646262
1_9_3_aa	adam	tanh	0.0	1	0.0464158883361	4	74	0.453961337857	0.733582882166	2	0.494458072832	0.732227633509	500	NA	NA	NA	0.457010938794	0.711203199541	474	0.464126135426	0.715241806209	464	0.466201689046	0.72485615638
